Telegram,Ginza Username,Type,Status,Churn Risk,Skill Level,Country,Last Active,Most Active Times (EST),Total Playtime,Runner,Agent,Notes
Arise,,PLAYER,ACTIVE,LOW,NIT,,1/7/2026 4:15,7pm-9pm,2h 30m,,,
Json,,PLAYER,ACTIVE,LOW,PUNTER,,1/7/2026 1:40,"6pm-7pm, 3pm-5pm",3h 1m,,,
Iamwill,,PLAYER,ACTIVE,LOW,PUNTER,,1/6/2026 2:30,2pm-8pm,5h 10m,,,
Butaskotch,,PLAYER,ACTIVE,LOW,AMATEUR,,1/5/2026 23:30,12pm-5pm,4h 30m,,,
Qausar,,PLAYER,ACTIVE,LOW,AMATEUR,,1/5/2026 19:30,12pm-1pm,1h,,,
Ginjongun,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 13:33,"5am-7am, 6pm-11pm",11h 30m,,,
Umbreon,,PLAYER,ACTIVE,LOW,PRO,,1/7/2026 7:41,11pm-1am,1h 17m,,,
Tankhard,,PLAYER,ACTIVE,LOW,PUNTER,,1/11/2026 11:25,"4am-4am, 8pm-9pm",2h 9m,,,
Thiccy,,PLAYER,ACTIVE,LOW,PRO,,1/7/2026 6:51,10pm-12am,1h 59m,,,
Up_sometimes,,PLAYER,ACTIVE,LOW,PRO,,1/7/2026 6:30,8pm-12am,3h 14m,,,
Inluvws…ence,,PLAYER,ACTIVE,LOW,AMATEUR,,1/7/2026 3:50,8pm-9pm,55m,,,
2by4,,PLAYER,ACTIVE,LOW,NIT,,1/6/2026 2:30,3pm-8pm,4h 13m,,,
Hassan,,PLAYER,ACTIVE,LOW,AMATEUR,,1/5/2026 23:47,5pm-5pm,17m,,,
Royalg00n,,PLAYER,ACTIVE,LOW,AMATEUR,,1/7/2026 7:41,8pm-1am,5h 11m,,,
Specialmoneyglitch,skillzforwealth,PLAYER,ACTIVE,LOW,AMATEUR,,1/12/2026 14:16,4am-7am,3h 7m,,,Came from mystic dao community? 
Littlepony,Littlepony,PLAYER,ACTIVE,LOW,PRO,,1/11/2026 15:00,"3am-8am, 6pm-11pm",17h 4m,,,
Buttaskotch,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 12:47,3am-6am,5h 29m,,,
Reign,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 11:19,4am-4am,49m,,,
skillzforwealth,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 14:16,4am-7am,3h 7m,,,
lilnigga,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 13:09,5am-6am,1h 6m,,,
jackfruitfruit,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 13:30,5am-7am,1h 32m,,,
tw24,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 13:30,5am-7am,1h 25m,,,
mobydicks,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 12:10,3am-5am,1h 45m,,,
Test,,AGENT,ACTIVE,LOW,AMATEUR,,,-,0m,,,
rad1bad1,,PLAYER,ACTIVE,LOW,AMATEUR,,1/11/2026 15:00,4am-8am,3h 2m,,,
gingjongun,,PLAYER,ACTIVE,LOW,PRO,,1/11/2026 15:00,5am-8am,2h 45m,,,
royalgoon,,PLAYER,ACTIVE,LOW,PRO,,1/11/2026 12:44,4am-6am,1h 40m,,,
Alexinthedark,Alexinthedark,AGENT,ACTIVE,LOW,PUNTER,,1/7/2026 4:34,7pm-10pm,2h 39m,,,
